Longitude,Latitude,Pixel,Scan
155.190668,-38.3728631,0,0
155.167958,-38.3720996,100,0
155.145249,-38.3713317,200,0
155.122543,-38.3705596,300,0
155.099839,-38.3697831,400,0
155.077137,-38.3690023,500,0
155.054437,-38.3682172,600,0
155.031739,-38.3674278,700,0
155.009042,-38.366634,800,0
154.986348,-38.3658359,900,0
154.963654,-38.3650335,1000,0
154.940962,-38.3642268,1100,0
154.918272,-38.3634157,1200,0
154.895583,-38.3626002,1300,0
154.872894,-38.3617805,1400,0
154.850207,-38.3609563,1500,0
154.827521,-38.3601279,1600,0
154.804835,-38.359295,1700,0
154.78215,-38.3584579,1800,0
154.759466,-38.3576163,1900,0
154.736782,-38.3567704,2000,0
154.714098,-38.3559201,2100,0
154.691415,-38.3550655,2200,0
154.668731,-38.3542065,2300,0
154.646048,-38.3533431,2400,0
154.623365,-38.3524753,2500,0
154.600682,-38.3516031,2600,0
154.577998,-38.3507265,2700,0
154.555314,-38.3498455,2800,0
154.53263,-38.3489602,2900,0
154.509944,-38.3480704,3000,0
154.487259,-38.3471762,3100,0
154.464572,-38.3462776,3200,0
154.441885,-38.3453745,3300,0
154.419196,-38.3444671,3400,0
154.396506,-38.3435552,3500,0
154.373816,-38.3426388,3600,0
154.351123,-38.3417181,3700,0
154.32843,-38.3407928,3800,0
154.305735,-38.3398632,3900,0
154.283265,-38.3389384,3999,0
155.189687,-38.389194,0,100
155.166972,-38.3884303,100,100
155.144259,-38.3876622,200,100
155.121548,-38.3868899,300,100
155.09884,-38.3861133,400,100
155.076133,-38.3853323,500,100
155.053429,-38.384547,600,100
155.030726,-38.3837574,700,100
155.008025,-38.3829635,800,100
154.985326,-38.3821652,900,100
154.962628,-38.3813626,1000,100
154.939932,-38.3805557,1100,100
154.917237,-38.3797444,1200,100
154.894543,-38.3789288,1300,100
154.87185,-38.3781088,1400,100
154.849158,-38.3772845,1500,100
154.826467,-38.3764558,1600,100
154.803777,-38.3756228,1700,100
154.781088,-38.3747854,1800,100
154.758399,-38.3739437,1900,100
154.735711,-38.3730976,2000,100
154.713023,-38.3722471,2100,100
154.690335,-38.3713922,2200,100
154.667647,-38.370533,2300,100
154.644959,-38.3696694,2400,100
154.622272,-38.3688014,2500,100
154.599584,-38.367929,2600,100
154.576896,-38.3670522,2700,100
154.554207,-38.366171,2800,100
154.531518,-38.3652854,2900,100
154.508829,-38.3643953,3000,100
154.486138,-38.3635009,3100,100
154.463447,-38.3626021,3200,100
154.440755,-38.3616988,3300,100
154.418062,-38.3607911,3400,100
154.395368,-38.359879,3500,100
154.372673,-38.3589624,3600,100
154.349976,-38.3580414,3700,100
154.327278,-38.3571159,3800,100
154.304578,-38.356186,3900,100
154.282104,-38.355261,3999,100
155.188717,-38.4055209,0,200
155.165998,-38.4047571,100,200
155.14328,-38.403989,200,200
155.120565,-38.4032166,300,200
155.097852,-38.4024399,400,200
155.075141,-38.4016588,500,200
155.052432,-38.4008734,600,200
155.029725,-38.4000837,700,200
155.00702,-38.3992896,800,200
154.984316,-38.3984913,900,200
154.961614,-38.3976886,1000,200
154.938913,-38.3968815,1100,200
154.916213,-38.3960701,1200,200
154.893515,-38.3952544,1300,200
154.870818,-38.3944343,1400,200
154.848121,-38.3936098,1500,200
154.825426,-38.392781,1600,200
154.802731,-38.3919479,1700,200
154.780037,-38.3911104,1800,200
154.757344,-38.3902685,1900,200
154.734651,-38.3894223,2000,200
154.711958,-38.3885716,2100,200
154.689266,-38.3877166,2200,200
154.666574,-38.3868572,2300,200
154.643882,-38.3859935,2400,200
154.62119,-38.3851253,2500,200
154.598497,-38.3842528,2600,200
154.575805,-38.3833758,2700,200
154.553112,-38.3824945,2800,200
154.530418,-38.3816087,2900,200
154.507724,-38.3807185,3000,200
154.485029,-38.3798239,3100,200
154.462334,-38.3789249,3200,200
154.439637,-38.3780215,3300,200
154.41694,-38.3771136,3400,200
154.394241,-38.3762013,3500,200
154.371542,-38.3752846,3600,200
154.34884,-38.3743634,3700,200
154.326138,-38.3734377,3800,200
154.303434,-38.3725076,3900,200
154.280955,-38.3715824,3999,200
155.187724,-38.4218651,0,300
155.165,-38.4211012,100,300
155.142278,-38.420333,200,300
155.119559,-38.4195606,300,300
155.096841,-38.4187838,400,300
155.074126,-38.4180026,500,300
155.051412,-38.4172172,600,300
155.028701,-38.4164274,700,300
155.005991,-38.4156333,800,300
154.983282,-38.4148348,900,300
154.960576,-38.414032,1000,300
154.93787,-38.4132249,1100,300
154.915166,-38.4124134,1200,300
154.892463,-38.4115976,1300,300
154.869762,-38.4107774,1400,300
154.847061,-38.4099529,1500,300
154.824361,-38.409124,1600,300
154.801662,-38.4082908,1700,300
154.778963,-38.4074532,1800,300
154.756266,-38.4066112,1900,300
154.733568,-38.4057648,2000,300
154.710871,-38.4049141,2100,300
154.688174,-38.404059,2200,300
154.665478,-38.4031995,2300,300
154.642781,-38.4023356,2400,300
154.620084,-38.4014674,2500,300
154.597387,-38.4005947,2600,300
154.57469,-38.3997176,2700,300
154.551993,-38.3988362,2800,300
154.529295,-38.3979503,2900,300
154.506596,-38.39706,3000,300
154.483897,-38.3961653,3100,300
154.461197,-38.3952661,3200,300
154.438496,-38.3943626,3300,300
154.415794,-38.3934546,3400,300
154.393091,-38.3925421,3500,300
154.370387,-38.3916252,3600,300
154.347681,-38.3907039,3700,300
154.324974,-38.3897781,3800,300
154.302265,-38.3888479,3900,300
154.279782,-38.3879225,3999,300
155.186742,-38.4382167,0,400
155.164013,-38.4374528,100,400
155.141287,-38.4366846,200,400
155.118563,-38.4359121,300,400
155.095841,-38.4351353,400,400
155.073121,-38.4343541,500,400
155.050403,-38.4335686,600,400
155.027687,-38.4327788,700,400
155.004972,-38.4319847,800,400
154.982259,-38.4311862,900,400
154.959548,-38.4303833,1000,400
154.936838,-38.4295762,1100,400
154.91413,-38.4287646,1200,400
154.891422,-38.4279488,1300,400
