Longitude,Latitude,Pixel,Scan
188.862572,-23.6227824,0,0
188.842466,-23.6221215,100,0
188.822362,-23.621458,200,0
188.80226,-23.620792,300,0
188.782159,-23.6201235,400,0
188.762061,-23.6194524,500,0
188.741963,-23.6187788,600,0
188.721867,-23.6181027,700,0
188.701773,-23.6174241,800,0
188.68168,-23.6167429,900,0
188.661587,-23.6160592,1000,0
188.641496,-23.6153729,1100,0
188.621406,-23.6146841,1200,0
188.601317,-23.6139927,1300,0
188.581228,-23.6132988,1400,0
188.56114,-23.6126023,1500,0
188.541052,-23.6119033,1600,0
188.520965,-23.6112017,1700,0
188.500878,-23.6104975,1800,0
188.480792,-23.6097908,1900,0
188.460705,-23.6090815,2000,0
188.440619,-23.6083696,2100,0
188.420533,-23.6076551,2200,0
188.400446,-23.6069381,2300,0
188.380359,-23.6062185,2400,0
188.360272,-23.6054962,2500,0
188.340185,-23.6047714,2600,0
188.320096,-23.604044,2700,0
188.300008,-23.603314,2800,0
188.279918,-23.6025814,2900,0
188.259828,-23.6018461,3000,0
188.239736,-23.6011083,3100,0
188.219644,-23.6003678,3200,0
188.19955,-23.5996247,3300,0
188.179456,-23.598879,3400,0
188.15936,-23.5981307,3500,0
188.139262,-23.5973797,3600,0
188.119163,-23.5966261,3700,0
188.099062,-23.5958698,3800,0
188.07896,-23.5951109,3900,0
188.059057,-23.594357,3999,0
188.861823,-23.6391297,0,100
188.841715,-23.6384689,100,100
188.82161,-23.6378055,200,100
188.801506,-23.6371396,300,100
188.781404,-23.6364712,400,100
188.761303,-23.6358002,500,100
188.741204,-23.6351267,600,100
188.721107,-23.6344507,700,100
188.701011,-23.6337721,800,100
188.680916,-23.633091,900,100
188.660822,-23.6324074,1000,100
188.640729,-23.6317212,1100,100
188.620637,-23.6310324,1200,100
188.600546,-23.6303412,1300,100
188.580456,-23.6296473,1400,100
188.560366,-23.6289509,1500,100
188.540277,-23.6282519,1600,100
188.520188,-23.6275504,1700,100
188.5001,-23.6268463,1800,100
188.480011,-23.6261396,1900,100
188.459923,-23.6254304,2000,100
188.439835,-23.6247186,2100,100
188.419747,-23.6240042,2200,100
188.399659,-23.6232872,2300,100
188.379571,-23.6225676,2400,100
188.359482,-23.6218454,2500,100
188.339393,-23.6211207,2600,100
188.319303,-23.6203933,2700,100
188.299212,-23.6196633,2800,100
188.279121,-23.6189307,2900,100
188.259029,-23.6181955,3000,100
188.238936,-23.6174577,3100,100
188.218842,-23.6167173,3200,100
188.198747,-23.6159743,3300,100
188.178651,-23.6152286,3400,100
188.158553,-23.6144803,3500,100
188.138454,-23.6137294,3600,100
188.118353,-23.6129758,3700,100
188.098251,-23.6122196,3800,100
188.078147,-23.6114607,3900,100
188.058242,-23.6107068,3999,100
188.861093,-23.6554713,0,200
188.840984,-23.6548105,100,200
188.820877,-23.6541471,200,200
188.800771,-23.6534812,300,200
188.780667,-23.6528128,400,200
188.760565,-23.6521418,500,200
188.740465,-23.6514683,600,200
188.720365,-23.6507923,700,200
188.700268,-23.6501137,800,200
188.680171,-23.6494326,900,200
188.660075,-23.648749,1000,200
188.639981,-23.6480628,1100,200
188.619887,-23.647374,1200,200
188.599795,-23.6466827,1300,200
188.579703,-23.6459889,1400,200
188.559611,-23.6452924,1500,200
188.53952,-23.6445935,1600,200
188.51943,-23.6438919,1700,200
188.49934,-23.6431878,1800,200
188.47925,-23.6424811,1900,200
188.45916,-23.6417718,2000,200
188.439071,-23.64106,2100,200
188.418981,-23.6403455,2200,200
188.398891,-23.6396285,2300,200
188.378801,-23.6389089,2400,200
188.358711,-23.6381867,2500,200
188.33862,-23.6374619,2600,200
188.318528,-23.6367345,2700,200
188.298436,-23.6360045,2800,200
188.278343,-23.6352719,2900,200
188.25825,-23.6345367,3000,200
188.238155,-23.6337988,3100,200
188.21806,-23.6330583,3200,200
188.197963,-23.6323152,3300,200
188.177865,-23.6315695,3400,200
188.157765,-23.6308212,3500,200
188.137665,-23.6300702,3600,200
188.117562,-23.6293165,3700,200
188.097458,-23.6285603,3800,200
188.077353,-23.6278013,3900,200
188.057446,-23.6270474,3999,200
188.860328,-23.6717918,0,300
188.840217,-23.6711307,100,300
188.820108,-23.6704671,200,300
188.800001,-23.669801,300,300
188.779896,-23.6691323,400,300
188.759792,-23.6684611,500,300
188.73969,-23.6677874,600,300
188.719589,-23.6671111,700,300
188.699489,-23.6664323,800,300
188.679391,-23.6657509,900,300
188.659294,-23.665067,1000,300
188.639198,-23.6643806,1100,300
188.619102,-23.6636916,1200,300
188.599008,-23.663,1300,300
188.578914,-23.6623059,1400,300
188.558821,-23.6616092,1500,300
188.538729,-23.66091,1600,300
188.518637,-23.6602081,1700,300
188.498545,-23.6595038,1800,300
188.478454,-23.6587968,1900,300
188.458362,-23.6580873,2000,300
188.438271,-23.6573751,2100,300
188.41818,-23.6566604,2200,300
188.398088,-23.6559431,2300,300
188.377997,-23.6552233,2400,300
188.357905,-23.6545008,2500,300
188.337812,-23.6537757,2600,300
188.317719,-23.653048,2700,300
188.297625,-23.6523177,2800,300
188.277531,-23.6515848,2900,300
188.257435,-23.6508493,3000,300
188.237339,-23.6501112,3100,300
188.217242,-23.6493704,3200,300
188.197143,-23.648627,3300,300
188.177044,-23.647881,3400,300
188.156943,-23.6471324,3500,300
188.13684,-23.6463811,3600,300
188.116736,-23.6456271,3700,300
188.096631,-23.6448706,3800,300
188.076524,-23.6441113,3900,300
188.056616,-23.6433571,3999,300
188.859561,-23.688185,0,400
188.839448,-23.6875243,100,400
188.819338,-23.6868611,200,400
188.799229,-23.6861954,300,400
188.779122,-23.6855272,400,400
188.759016,-23.6848564,500,400
188.738912,-23.684183,600,400
188.71881,-23.6835072,700,400
188.698709,-23.6828287,800,400
188.678609,-23.6821478,900,400
188.65851,-23.6814643,1000,400
188.638412,-23.6807782,1100,400
188.618315,-23.6800896,1200,400
188.598219,-23.6793984,1300,400
188.578124,-23.6787047,1400,400
188.558029,-23.6780084,1500,400
188.537935,-23.6773095,1600,400
188.517841,-23.6766081,1700,400
188.497748,-23.6759041,1800,400
188.477655,-23.6751975,1900,400
188.457562,-23.6744884,2000,400
188.437469,-23.6737766,2100,400
188.417376,-23.6730623,2200,400
188.397283,-23.6723454,2300,400
188.377189,-23.6716258,2400,400
188.357096,-23.6709037,2500,400
188.337001,-23.670179,2600,400
188.316907,-23.6694517,2700,400
188.296811,-23.6687218,2800,400
188.276715,-23.6679892,2900,400
188.256618,-23.6672541,3000,400
188.23652,-23.6665163,3100,400
188.216421,-23.6657759,3200,400
188.196321,-23.6650328,3300,400
