Longitude,Latitude,Pixel,Scan
277.455468,-13.6024204,0,0
277.436725,-13.602114,100,0
277.417983,-13.6018062,200,0
277.399242,-13.601497,300,0
277.380503,-13.6011865,400,0
277.361765,-13.6008746,500,0
277.343029,-13.6005613,600,0
277.324294,-13.6002466,700,0
277.305559,-13.5999306,800,0
277.286826,-13.5996132,900,0
277.268094,-13.5992944,1000,0
277.249362,-13.5989742,1100,0
277.230631,-13.5986527,1200,0
277.211901,-13.5983298,1300,0
277.193171,-13.5980054,1400,0
277.174442,-13.5976797,1500,0
277.155713,-13.5973526,1600,0
277.136984,-13.5970242,1700,0
277.118256,-13.5966943,1800,0
277.099527,-13.596363,1900,0
277.080799,-13.5960304,2000,0
277.06207,-13.5956963,2100,0
277.043341,-13.5953609,2200,0
277.024612,-13.595024,2300,0
277.005883,-13.5946858,2400,0
276.987153,-13.5943461,2500,0
276.968422,-13.5940051,2600,0
276.949691,-13.5936626,2700,0
276.930959,-13.5933187,2800,0
276.912226,-13.5929734,2900,0
276.893492,-13.5926268,3000,0
276.874758,-13.5922787,3100,0
276.856022,-13.5919291,3200,0
276.837285,-13.5915782,3300,0
276.818546,-13.5912258,3400,0
276.799806,-13.5908721,3500,0
276.781065,-13.5905169,3600,0
276.762322,-13.5901603,3700,0
276.743578,-13.5898022,3800,0
276.724832,-13.5894427,3900,0
276.706271,-13.5890854,3999,0
277.455107,-13.618659,0,100
277.436363,-13.6183524,100,100
277.417621,-13.6180444,200,100
277.39888,-13.617735,300,100
277.380141,-13.6174243,400,100
277.361403,-13.6171122,500,100
277.342666,-13.6167988,600,100
277.32393,-13.6164839,700,100
277.305196,-13.6161677,800,100
277.286462,-13.6158501,900,100
277.267729,-13.6155311,1000,100
277.248997,-13.6152108,1100,100
277.230266,-13.614889,1200,100
277.211535,-13.6145659,1300,100
277.192805,-13.6142414,1400,100
277.174076,-13.6139154,1500,100
277.155346,-13.6135882,1600,100
277.136617,-13.6132595,1700,100
277.117889,-13.6129294,1800,100
277.09916,-13.6125979,1900,100
277.080431,-13.612265,2000,100
277.061702,-13.6119308,2100,100
277.042973,-13.6115951,2200,100
277.024243,-13.611258,2300,100
277.005513,-13.6109196,2400,100
276.986783,-13.6105797,2500,100
276.968052,-13.6102384,2600,100
276.949321,-13.6098957,2700,100
276.930588,-13.6095517,2800,100
276.911855,-13.6092061,2900,100
276.893121,-13.6088592,3000,100
276.874386,-13.6085109,3100,100
276.85565,-13.6081612,3200,100
276.836913,-13.60781,3300,100
276.818174,-13.6074574,3400,100
276.799434,-13.6071034,3500,100
276.780692,-13.606748,3600,100
276.761949,-13.6063911,3700,100
276.743204,-13.6060328,3800,100
276.724458,-13.6056731,3900,100
276.705897,-13.6053156,3999,100
277.454725,-13.6350216,0,200
277.43598,-13.6347154,100,200
277.417238,-13.6344077,200,200
277.398496,-13.6340987,300,200
277.379757,-13.6337883,400,200
277.361018,-13.6334765,500,200
277.342281,-13.6331634,600,200
277.323545,-13.6328488,700,200
277.30481,-13.6325329,800,200
277.286076,-13.6322156,900,200
277.267343,-13.631897,1000,200
277.248611,-13.6315769,1100,200
277.229879,-13.6312555,1200,200
277.211148,-13.6309326,1300,200
277.192418,-13.6306084,1400,200
277.173688,-13.6302828,1500,200
277.154958,-13.6299558,1600,200
277.136229,-13.6296274,1700,200
277.1175,-13.6292976,1800,200
277.09877,-13.6289665,1900,200
277.080041,-13.6286339,2000,200
277.061312,-13.6282999,2100,200
277.042582,-13.6279645,2200,200
277.023853,-13.6276278,2300,200
277.005122,-13.6272896,2400,200
276.986392,-13.62695,2500,200
276.967661,-13.626609,2600,200
276.948929,-13.6262666,2700,200
276.930196,-13.6259228,2800,200
276.911463,-13.6255776,2900,200
276.892728,-13.625231,3000,200
276.873993,-13.6248829,3100,200
